Gene1	Gene2	Pair type
IGFBP3	TNFRSF21	ME-scPGI
IGFBP3	TRIP10	ME-scPGI
IGFBP3	WNT7B	ME-scPGI
IGFBP3	NCLN	ME-scPGI
IMMP1L	PAM16	ME-scPGI
INAVA	MACC1	ME-scPGI
ITGB8	PODXL2	ME-scPGI
ITGB8	RAMP1	ME-scPGI
ITGB8	TNFRSF21	ME-scPGI
ITGB8	NOTCH2	ME-scPGI
LRRC41	QPRT	ME-scPGI
MACC1	MAFK	ME-scPGI
MACC1	NELFB	ME-scPGI
MACC1	NRIP1	ME-scPGI
MACC1	TLE1	ME-scPGI
MACC1	TLE2	ME-scPGI
MACC1	TRIM24	ME-scPGI
MACC1	ZNF217	ME-scPGI
MACC1	BCL10	ME-scPGI
MCCC2	QPRT	ME-scPGI
MIF	MUC16	ME-scPGI
MIF	MUC20	ME-scPGI
MIF	PODXL2	ME-scPGI
MRPL13	MRPS24	ME-scPGI
MRPL15	MRPS24	ME-scPGI
MRPL19	EEF1G	ME-scPGI
MRPL2	MRPS24	ME-scPGI
MRPL2	EEF1G	ME-scPGI
MRPL24	MRPS24	ME-scPGI
MRPL45	EEF1G	ME-scPGI
MRPL58	MRPS24	ME-scPGI
MRPS10	EEF1G	ME-scPGI
MRPS17	MRPS24	ME-scPGI
MRPS17	MRPS28	ME-scPGI
MRPS17	RPL39L	ME-scPGI
MRPS17	TSFM	ME-scPGI
MRPS17	EEF1G	ME-scPGI
MRPS18A	MRPS24	ME-scPGI
MRPS24	MRPS28	ME-scPGI
MRPS24	NGRN	ME-scPGI
MRPS24	PXMP2	ME-scPGI
MRPS24	TSFM	ME-scPGI
MRPS28	EEF1G	ME-scPGI
MUC16	PODXL2	ME-scPGI
MUC16	PTTG1IP	ME-scPGI
MUC16	RAMP1	ME-scPGI
MUC16	VSTM2L	ME-scPGI
MUC16	WNT7B	ME-scPGI
MUC16	BCL10	ME-scPGI
MUC20	RAMP1	ME-scPGI
MUC20	EEF1G	ME-scPGI
NAPRT	QPRT	ME-scPGI
NAPRT	RHPN1	ME-scPGI
NGRN	EEF1G	ME-scPGI
NME2	PXMP2	ME-scPGI
NME2	SRPK1	ME-scPGI
NME2	TUSC2	ME-scPGI
NME2	UXS1	ME-scPGI
NME2	ZNF322	ME-scPGI
NPM3	EEF1G	ME-scPGI
NPTN	VSTM2L	ME-scPGI
NT5C2	QPRT	ME-scPGI
NTHL1	CYREN	ME-scPGI
PACSIN3	SYT8	ME-scPGI
PAICS	QPRT	ME-scPGI
PAM16	PXMP2	ME-scPGI
PAM16	WBP1	ME-scPGI
PCMTD2	VPS28	ME-scPGI
PDLIM5	VSTM2L	ME-scPGI
PDZD11	SYT8	ME-scPGI
PGGHG	USP40	ME-scPGI
PGGHG	LYPLAL1	ME-scPGI
PLEC	RHPN1	ME-scPGI
PODXL2	TNFRSF12A	ME-scPGI
PODXL2	YES1	ME-scPGI
POLR3K	RPP21	ME-scPGI
POLR3K	EEF1G	ME-scPGI
PRKCA	TNFRSF21	ME-scPGI
PRPF6	UTP23	ME-scPGI
PRPF6	ZHX1	ME-scPGI
PSMG3	RCC1	ME-scPGI
PSMG3	TLE2	ME-scPGI
PSMG3	TRAPPC5	ME-scPGI
PTGS2	PXMP2	ME-scPGI
PTTG1IP	F8A1	ME-scPGI
PXMP2	QPRT	ME-scPGI
PXMP2	RAMP1	ME-scPGI
PXMP2	EEF1G	ME-scPGI
QPRT	WBP1	ME-scPGI
QPRT	RFK	ME-scPGI
QPRT	TXNDC9	ME-scPGI
QPRT	SMPDL3A	ME-scPGI
RAMP1	TMEM150A	ME-scPGI
RAMP1	TSPAN12	ME-scPGI
RAMP1	ASPSCR1	ME-scPGI
RAPH1	VSTM2L	ME-scPGI
RHPN1	VPS28	ME-scPGI
RHPN1	VSTM2L	ME-scPGI
RHPN1	CRIP1	ME-scPGI
RHPN1	PARP10	ME-scPGI
RIDA	EEF1G	ME-scPGI
RMDN1	TUBB2A	ME-scPGI
RNF24	YKT6	ME-scPGI
ROGDI	VSTM2L	ME-scPGI
RP9	RPP21	ME-scPGI
RP9	CYREN	ME-scPGI
RPL39L	TMEM203	ME-scPGI
RPP21	RRP36	ME-scPGI
RPP21	TATDN1	ME-scPGI
RPP21	UTP23	ME-scPGI
RPP21	EXOSC5	ME-scPGI
RPP21	WDR46	ME-scPGI
RUSC1	YKT6	ME-scPGI
SAMD12	SCRIB	ME-scPGI
SCRIB	SIPA1L3	ME-scPGI
SHC1	TRIO	ME-scPGI
SLC2A4RG	TCEA2	ME-scPGI
SLC2A4RG	ZHX1	ME-scPGI
SNAPIN	SYT8	ME-scPGI
SNX18	VPS28	ME-scPGI
SYT8	ZFPL1	ME-scPGI
TMEM63A	TRAPPC5	ME-scPGI
TNFRSF21	VSTM2L	ME-scPGI
TRAPPC5	F8A1	ME-scPGI
TUBB2A	IGSF8	ME-scPGI
